index,card_name,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFM_score,customer_segment
7790,Darlene Roberts,169,10,3539.39,3,4,3,343,Premium Customer
7793,Darlene Sims,149,9,4208.48,3,4,4,344,Premium Customer
7794,Darlene Williams,144,9,3869.91,3,4,3,343,Premium Customer
7800,Darrell Boyd,268,9,3662.6700000000005,3,4,3,343,Premium Customer
7804,Darrell Gonzalez,559,8,5047.91,4,3,4,434,Premium Customer
7808,Darrell Kelly,564,9,5886.0199999999995,4,4,4,444,Premium Customer
7825,Darren Hill,318,8,4343.92,4,3,4,434,Premium Customer
7826,Darren Juarez,361,8,4271.76,4,3,4,434,Premium Customer
7838,Darryl Anderson,164,9,5791.760000000001,3,4,4,344,Premium Customer
7839,Darryl Carrillo,598,10,5337.149999999999,4,4,4,444,Premium Customer
7846,Darryl Roth,148,8,4419.67,3,3,4,334,Premium Customer
7857,Dave Davidson,324,10,3226.68,4,4,3,443,Premium Customer
7862,David Andersen,542,8,4381.49,4,3,4,434,Premium Customer
7871,David Bailey,226,8,3397.37,3,3,3,333,Premium Customer
7887,David Blackwell,313,8,5079.6900000000005,4,3,4,434,Premium Customer
7908,David Chavez,145,8,3841.41,3,3,3,333,Premium Customer
7920,David Copeland,164,12,5008.210000000001,3,4,4,344,Premium Customer
7927,David Cunningham,805,9,5648.32,4,4,4,444,Premium Customer
7932,David Delgado,241,8,4296.99,3,3,4,334,Premium Customer
7939,David Dyer,191,9,4903.0,3,4,4,344,Premium Customer
7951,David Foster,194,9,3456.98,3,4,3,343,Premium Customer
7954,David Franklin,170,8,3464.4300000000003,3,3,3,333,Premium Customer
7961,David Garrison,359,8,4513.18,4,3,4,434,Premium Customer
7975,David Griffin,151,9,6674.38,3,4,4,344,Premium Customer
7986,David Hart,270,8,3264.5700000000006,3,3,3,333,Premium Customer
7988,David Hawkins,508,8,4013.0,4,3,4,434,Premium Customer
7989,David Hayden,235,8,3793.93,3,3,3,333,Premium Customer
8001,David Holder,286,11,6102.7300000000005,4,4,4,444,Premium Customer
8004,David Howell,450,9,3679.08,4,4,3,443,Premium Customer
8007,David Hudson,179,10,5713.76,3,4,4,344,Premium Customer
8014,David Ingram,260,10,3920.5499999999997,3,4,4,344,Premium Customer
8029,David Kline,320,10,4199.02,4,4,4,444,Premium Customer
8032,David Lara,250,9,5257.91,3,4,4,344,Premium Customer
8035,David Lawrence,214,8,4643.290000000001,3,3,4,334,Premium Customer
8038,David Leon,194,8,3177.71,3,3,3,333,Premium Customer
8040,David Lindsey,442,8,3604.5,4,3,3,433,Premium Customer
8063,David Mcgee,162,10,4591.639999999999,3,4,4,344,Premium Customer
8066,David Mejia,375,8,3355.21,4,3,3,433,Premium Customer
8069,David Mercado,318,10,5720.76,4,4,4,444,Premium Customer
8088,David Murphy,157,9,5287.5,3,4,4,344,Premium Customer
8089,David Murray,207,8,4720.1,3,3,4,334,Premium Customer
8101,David Parker,254,8,3621.63,3,3,3,333,Premium Customer
8102,David Parks,211,11,4925.0199999999995,3,4,4,344,Premium Customer
8110,David Pham,201,8,4421.92,3,3,4,334,Premium Customer
8111,David Phillips,150,9,3712.3300000000004,3,4,3,343,Premium Customer
8131,David Roberts,373,11,4354.14,4,4,4,444,Premium Customer
8133,David Robinson,148,11,5010.28,3,4,4,344,Premium Customer
8139,David Ross,701,8,3769.17,4,3,3,433,Premium Customer
8140,David Roth,284,8,4519.05,4,3,4,434,Premium Customer
8153,David Serrano,206,10,3450.8100000000004,3,4,3,343,Premium Customer
8183,David Tucker,146,8,3863.96,3,3,3,333,Premium Customer
8192,David Villegas,352,11,5052.8,4,4,4,444,Premium Customer
8197,David Warner,467,9,3664.3599999999997,4,4,3,443,Premium Customer
8200,David Webb,208,9,3377.3,3,4,3,343,Premium Customer
8232,Dawn Bryant,153,8,4490.41,3,3,4,334,Premium Customer
8237,Dawn Cruz,318,11,3670.0600000000004,4,4,3,443,Premium Customer
8255,Dawn Howard,474,9,5460.38,4,4,4,444,Premium Customer
8266,Dawn Malone,220,8,4370.96,3,3,4,334,Premium Customer
8316,Dean Bishop,224,9,3839.79,3,4,3,343,Premium Customer
8331,Dean Wilson,606,10,5970.95,4,4,4,444,Premium Customer
8332,Deanna Adams,279,8,3843.0699999999997,4,3,3,433,Premium Customer
8337,Deanna Dougherty,198,8,5158.700000000001,3,3,4,334,Premium Customer
8340,Deanna Golden,145,8,3090.64,3,3,3,333,Premium Customer
8354,Deanna Perry,196,9,7267.99,3,4,4,344,Premium Customer
8362,Deanna Wolf,244,11,6842.65,3,4,4,344,Premium Customer
8377,Debbie Holt,181,8,3644.7200000000003,3,3,3,333,Premium Customer
8385,Debbie Salas,352,9,4245.929999999999,4,4,4,444,Premium Customer
8402,Deborah Castillo,304,8,4719.93,4,3,4,434,Premium Customer
8422,Deborah Gonzalez,325,9,3356.59,4,4,3,443,Premium Customer
8423,Deborah Gould,212,9,3522.35,3,4,3,343,Premium Customer
8429,Deborah Hughes,643,9,3131.56,4,4,3,443,Premium Customer
8430,Deborah Huynh,432,10,6186.1,4,4,4,444,Premium Customer
8454,Deborah Scott,373,8,4578.54,4,3,4,434,Premium Customer
8455,Deborah Shaw,154,8,5397.379999999999,3,3,4,334,Premium Customer
8462,Deborah Vazquez,344,14,7865.889999999999,4,4,4,444,Premium Customer
8467,Deborah Webb,235,10,3198.75,3,4,3,343,Premium Customer
8470,Deborah Wilson,233,8,5523.77,3,3,4,334,Premium Customer
8485,Debra Chan,144,9,4217.129999999999,3,4,4,344,Premium Customer
8501,Debra Hernandez,240,9,3883.43,3,4,3,343,Premium Customer
8510,Debra King,393,8,4795.01,4,3,4,434,Premium Customer
8518,Debra Moyer,199,10,3561.7400000000002,3,4,3,343,Premium Customer
8525,Debra Smith,254,9,6190.9800000000005,3,4,4,344,Premium Customer
8535,Denise Baker,227,9,4728.58,3,4,4,344,Premium Customer
8567,Denise Jenkins,275,10,5310.340000000001,3,4,4,344,Premium Customer
8572,Denise Kim,251,12,5039.85,3,4,4,344,Premium Customer
8581,Denise Montoya,156,8,4512.25,3,3,4,334,Premium Customer
8587,Denise Novak,158,9,3843.97,3,4,3,343,Premium Customer
8592,Denise Porter,157,9,4281.4800000000005,3,4,4,344,Premium Customer
8609,Denise Thomas,230,11,7957.0,3,4,4,344,Premium Customer
8632,Dennis Curtis,142,13,4934.4000000000015,3,4,4,344,Premium Customer
8634,Dennis Duran,272,10,4368.72,3,4,4,344,Premium Customer
8637,Dennis Floyd,347,9,5745.889999999999,4,4,4,444,Premium Customer
8640,Dennis Green,422,8,6111.08,4,3,4,434,Premium Customer
8645,Dennis Hines,175,10,5625.29,3,4,4,344,Premium Customer
8654,Dennis Lee,247,8,2986.24,3,3,3,333,Premium Customer
8659,Dennis Mercado,296,9,5393.63,4,4,4,444,Premium Customer
8663,Dennis Moss,272,10,4944.280000000001,3,4,4,344,Premium Customer
8671,Dennis Richardson,290,10,5337.01,4,4,4,444,Premium Customer
8681,Dennis Webb,197,9,4446.01,3,4,4,344,Premium Customer
8687,Derek Becker,183,9,3764.4500000000003,3,4,3,343,Premium Customer
8688,Derek Berry,206,10,5016.62,3,4,4,344,Premium Customer
8702,Derek Fritz,337,8,4726.74,4,3,4,434,Premium Customer
8703,Derek Glenn,255,10,3485.2299999999996,3,4,3,343,Premium Customer
8719,Derek Martin,322,8,3670.72,4,3,3,433,Premium Customer
8721,Derek Meadows,171,8,4679.33,3,3,4,334,Premium Customer
8723,Derek Molina,271,9,3036.72,3,4,3,343,Premium Customer
8725,Derek Morris,462,10,3982.89,4,4,4,444,Premium Customer
8734,Derek Schmidt,210,9,6493.709999999999,3,4,4,344,Premium Customer
8735,Derek Simmons,509,8,4511.7,4,3,4,434,Premium Customer
8737,Derek Taylor,165,9,3816.2400000000002,3,4,3,343,Premium Customer
8739,Derek Thomas,274,9,3988.7,3,4,4,344,Premium Customer
8746,Derrick Brown,415,8,4493.49,4,3,4,434,Premium Customer
8749,Derrick Chambers,494,9,4192.9,4,4,4,444,Premium Customer
8757,Derrick Mayo,213,9,3546.4,3,4,3,343,Premium Customer
8767,Derrick Taylor,318,8,4811.68,4,3,4,434,Premium Customer
8769,Derrick Thompson,156,9,4441.61,3,4,4,344,Premium Customer
8772,Derrick White,168,9,3921.6,3,4,4,344,Premium Customer
8776,Desiree Baker,200,8,4323.36,3,3,4,334,Premium Customer
8777,Desiree Burns,495,9,3981.0,4,4,4,444,Premium Customer
8809,Destiny Thomas,240,12,4445.219999999999,3,4,4,344,Premium Customer
8817,Devin Collins,355,9,3348.42,4,4,3,443,Premium Customer
8828,Devin Mccarty,354,9,3124.31,4,4,3,443,Premium Customer
8833,Devin Ortiz,270,9,4572.16,3,4,4,344,Premium Customer
8838,Devin Rice,524,9,3164.4600000000005,4,4,3,443,Premium Customer
8841,Devin Thomas,210,9,3592.3,3,4,3,343,Premium Customer
8851,Devon Sanders,374,8,3804.6499999999996,4,3,3,433,Premium Customer
8868,Diana Boyd,195,8,3783.4699999999993,3,3,3,333,Premium Customer
8917,Diane Bautista,186,10,4603.93,3,4,4,344,Premium Customer
8925,Diane Cruz,244,8,4172.08,3,3,4,334,Premium Customer
8928,Diane Downs,284,10,3665.81,4,4,3,443,Premium Customer
8935,Diane Gardner,307,9,3792.7400000000002,4,4,3,443,Premium Customer
8946,Diane Hunter,376,8,4839.87,4,3,4,434,Premium Customer
8947,Diane Jenkins,188,10,5116.759999999999,3,4,4,344,Premium Customer
8949,Diane Lewis,258,8,3529.41,3,3,3,333,Premium Customer
8966,Diane Schroeder,177,10,3694.83,3,4,3,343,Premium Customer
8972,Diane Steele,267,8,4220.03,3,3,4,334,Premium Customer
8974,Diane Taylor,169,9,3158.9900000000002,3,4,3,343,Premium Customer
8979,Dillon Casey,160,9,6465.87,3,4,4,344,Premium Customer
8985,Dillon Murphy,432,8,3526.1800000000003,4,3,3,433,Premium Customer
8990,Dominic James,168,8,3065.23,3,3,3,333,Premium Customer
8995,Dominic Scott,264,9,5817.63,3,4,4,344,Premium Customer
9004,Dominique Clements,203,8,3713.6400000000003,3,3,3,333,Premium Customer
9011,Dominique Perez,403,9,2985.98,4,4,3,443,Premium Customer
9021,Don Foster,406,8,4409.68,4,3,4,434,Premium Customer
9030,Donald Alvarado,430,11,5633.87,4,4,4,444,Premium Customer
9047,Donald Castro,213,8,4595.71,3,3,4,334,Premium Customer
9060,Donald Duncan,230,8,4335.58,3,3,4,334,Premium Customer
9065,Donald Gonzalez,206,8,3334.09,3,3,3,333,Premium Customer
9074,Donald Horton,415,8,4361.12,4,3,4,434,Premium Customer
9082,Donald Kaufman,197,12,5594.97,3,4,4,344,Premium Customer
9083,Donald Kelly,381,11,3654.2699999999995,4,4,3,443,Premium Customer
9084,Donald Kennedy,188,8,4663.42,3,3,4,334,Premium Customer
9097,Donald Pearson,203,9,3748.26,3,4,3,343,Premium Customer
9104,Donald Powell,272,8,3388.3,3,3,3,333,Premium Customer
9108,Donald Robinson V,150,9,5172.05,3,4,4,344,Premium Customer
9130,Donald Willis,163,10,4605.18,3,4,4,344,Premium Customer
9143,Donna Castillo,464,8,3890.4399999999996,4,3,3,433,Premium Customer
9158,Donna Gregory,182,9,3985.4900000000002,3,4,4,344,Premium Customer
9162,Donna Hensley,258,8,3566.74,3,3,3,333,Premium Customer
9169,Donna Hutchinson,484,8,3396.55,4,3,3,433,Premium Customer
9170,Donna Jacobs,347,10,4673.51,4,4,4,444,Premium Customer
9172,Donna Jones,197,9,3653.2999999999997,3,4,3,343,Premium Customer
9179,Donna Martin,811,9,6073.079999999999,4,4,4,444,Premium Customer
9194,Donna Peck,536,9,4988.97,4,4,4,444,Premium Customer
9227,Donna Wolfe MD,181,9,7156.02,3,4,4,344,Premium Customer
9228,Donna Yang,470,8,5139.02,4,3,4,434,Premium Customer
9231,Doris Golden,408,8,5226.74,4,3,4,434,Premium Customer
9236,Doris Knight,316,8,3922.2200000000003,4,3,4,434,Premium Customer
9239,Doris Schaefer,224,9,3313.2,3,4,3,343,Premium Customer
9245,Dorothy Cox,291,8,3066.95,4,3,3,433,Premium Customer
9257,Douglas Archer,234,8,4096.95,3,3,4,334,Premium Customer
9259,Douglas Bell,273,8,3643.4900000000002,3,3,3,333,Premium Customer
9267,Douglas Cochran,194,13,4662.54,3,4,4,344,Premium Customer
9268,Douglas Diaz,279,12,6727.9,4,4,4,444,Premium Customer
9279,Douglas Harper,147,10,4279.24,3,4,4,344,Premium Customer
9298,Douglas Mcgrath,337,11,4731.95,4,4,4,444,Premium Customer
9301,Douglas Murphy,166,8,3610.45,3,3,3,333,Premium Customer
9309,Douglas Simpson,212,9,3413.16,3,4,3,343,Premium Customer
9321,Douglas Wood,401,8,3745.9300000000003,4,3,3,433,Premium Customer
9349,Dr. Brenda Banks MD,351,10,3376.6099999999997,4,4,3,443,Premium Customer
9353,Dr. Bruce Smith,379,9,3909.98,4,4,3,443,Premium Customer
9355,Dr. Cameron Ryan,251,9,4536.21,3,4,4,344,Premium Customer
9356,Dr. Cameron Walker MD,280,9,3787.7999999999997,4,4,3,443,Premium Customer
9359,Dr. Casey Moore,220,8,5263.5199999999995,3,3,4,334,Premium Customer
9373,Dr. Crystal Gallegos DDS,226,9,4604.19,3,4,4,344,Premium Customer
9382,Dr. David Michael MD,363,8,4416.08,4,3,4,434,Premium Customer
9389,Dr. Debra Johnson,306,8,3428.07,4,3,3,433,Premium Customer
9394,Dr. Donald Mills,193,9,4054.6300000000006,3,4,4,344,Premium Customer
9396,Dr. Donna Davis,285,10,4012.4600000000005,4,4,4,444,Premium Customer
9406,Dr. Gregory Carr,152,8,3681.2599999999998,3,3,3,333,Premium Customer
9407,Dr. Guy Berry,224,8,4395.23,3,3,4,334,Premium Customer
9418,Dr. James Moreno,222,12,3487.1499999999996,3,4,3,343,Premium Customer
9421,Dr. Jasmine Jones DDS,154,10,5263.550000000001,3,4,4,344,Premium Customer
9430,Dr. Jeremy Davis,150,10,5764.030000000001,3,4,4,344,Premium Customer
9433,Dr. Jessica Griffin,208,8,3340.92,3,3,3,333,Premium Customer
9434,Dr. Joanna Smith,216,8,4895.200000000001,3,3,4,334,Premium Customer
9441,Dr. Joseph Mathis,247,10,3306.1299999999997,3,4,3,343,Premium Customer
9445,Dr. Juan Turner,227,10,4873.919999999999,3,4,4,344,Premium Customer
9447,Dr. Justin Daniels,400,10,3773.3100000000004,4,4,3,443,Premium Customer
9449,Dr. Kaitlyn Le,144,9,4901.049999999999,3,4,4,344,Premium Customer
9472,Dr. Matthew Lindsey,188,8,4763.7,3,3,4,334,Premium Customer
9481,Dr. Miguel Garcia,319,9,5322.07,4,4,4,444,Premium Customer
9482,Dr. Miranda Murphy DVM,166,8,4933.12,3,3,4,334,Premium Customer
9498,Dr. Paul Marshall MD,185,9,3142.0699999999997,3,4,3,343,Premium Customer
9508,Dr. Russell Sherman DDS,339,9,3104.69,4,4,3,443,Premium Customer
9515,Dr. Scott Drake,341,8,3784.25,4,3,3,433,Premium Customer
9539,Dr. Timothy Watts,220,8,4459.599999999999,3,3,4,334,Premium Customer
9544,Dr. Vanessa King,223,11,4904.380000000001,3,4,4,344,Premium Customer
9545,Dr. Vanessa Tran PhD,194,8,3737.9999999999995,3,3,3,333,Premium Customer
9559,Drew Morgan,323,11,5540.52,4,4,4,444,Premium Customer
9568,Duane Andrews,280,9,5889.2300000000005,4,4,4,444,Premium Customer
9576,Duane Smith,249,8,5461.7,3,3,4,334,Premium Customer
9586,Dustin Burton,312,8,6238.7300000000005,4,3,4,434,Premium Customer
9595,Dustin Gregory,271,8,3807.39,3,3,3,333,Premium Customer
9602,Dustin Howard,178,8,3742.42,3,3,3,333,Premium Customer
9607,Dustin Lucas,237,8,4398.4,3,3,4,334,Premium Customer
9625,Dustin Silva,206,12,6605.349999999999,3,4,4,344,Premium Customer
9627,Dustin Smith,502,8,3964.17,4,3,4,434,Premium Customer
9632,Dustin Tucker,631,10,5092.29,4,4,4,444,Premium Customer
9641,Dwayne Garcia,148,12,6356.749999999999,3,4,4,344,Premium Customer
9643,Dwayne Monroe,229,8,3406.85,3,3,3,333,Premium Customer
9645,Dwayne Nicholson,298,9,4714.53,4,4,4,444,Premium Customer
9650,Dylan Barron,151,11,3135.62,3,4,3,343,Premium Customer
9656,Dylan Davis,245,9,6215.129999999999,3,4,4,344,Premium Customer
9657,Dylan Escobar,367,8,3264.2700000000004,4,3,3,433,Premium Customer
9661,Dylan Guerra,163,8,5694.67,3,3,4,334,Premium Customer
9662,Dylan Higgins,453,8,4843.73,4,3,4,434,Premium Customer
9665,Dylan Jones,205,11,5136.72,3,4,4,344,Premium Customer
9669,Dylan Love,272,8,3470.77,3,3,3,333,Premium Customer
9672,Dylan Mitchell,225,8,3023.75,3,3,3,333,Premium Customer
9694,Ebony Mccoy,192,8,4737.23,3,3,4,334,Premium Customer
9705,Eddie Peterson,274,8,4735.469999999999,3,3,4,334,Premium Customer
9718,Edgar Vega,272,8,3963.8999999999996,3,3,4,334,Premium Customer
9721,Eduardo Boone,188,9,5699.650000000001,3,4,4,344,Premium Customer
9725,Eduardo Hawkins,150,10,3480.53,3,4,3,343,Premium Customer
9726,Eduardo Henry,541,8,3392.17,4,3,3,433,Premium Customer
9734,Edward Acevedo,271,8,3873.5499999999997,3,3,3,333,Premium Customer
9738,Edward Bailey,281,8,3097.6099999999997,4,3,3,433,Premium Customer
9739,Edward Baker,174,9,6638.400000000001,3,4,4,344,Premium Customer
9749,Edward Casey,287,9,3394.5999999999995,4,4,3,443,Premium Customer
9755,Edward Davidson,176,8,3195.1600000000003,3,3,3,333,Premium Customer
9761,Edward Garza,283,10,4175.82,4,4,4,444,Premium Customer
9762,Edward Gibbs,294,8,4461.02,4,3,4,434,Premium Customer
9769,Edward Henderson,350,10,5373.65,4,4,4,444,Premium Customer
9777,Edward Jackson,233,9,5889.82,3,4,4,344,Premium Customer
9780,Edward Jones,159,8,3243.55,3,3,3,333,Premium Customer
9799,Edward Mora,159,8,3341.1800000000003,3,3,3,333,Premium Customer
9820,Edward Shaw,503,9,4519.77,4,4,4,444,Premium Customer
9834,Edward Vega,210,12,5638.58,3,4,4,344,Premium Customer
9835,Edward Wade,253,11,4452.31,3,4,4,344,Premium Customer
9843,Edward Young,156,9,4543.42,3,4,4,344,Premium Customer
9844,Edwin Anderson,313,10,4399.75,4,4,4,444,Premium Customer
9859,Edwin Smith,200,10,4627.3099999999995,3,4,4,344,Premium Customer
9862,Edwin Williams,173,10,5730.540000000001,3,4,4,344,Premium Customer
9872,Eileen Villa,288,12,5762.84,4,4,4,444,Premium Customer
9873,Eileen Waller,221,9,4038.8099999999995,3,4,4,344,Premium Customer
9877,Elaine Crawford,349,8,3923.38,4,3,4,434,Premium Customer
9893,Elijah Jimenez,283,9,4992.62,4,4,4,444,Premium Customer
9894,Elijah Johnson,406,9,4849.6,4,4,4,444,Premium Customer
9919,Elizabeth Boone,330,9,4862.35,4,4,4,444,Premium Customer
9920,Elizabeth Brooks,262,8,3991.81,3,3,4,334,Premium Customer
9935,Elizabeth Clark MD,208,9,4814.04,3,4,4,344,Premium Customer
9951,Elizabeth Ellis,346,8,3736.45,4,3,3,433,Premium Customer
9953,Elizabeth Farley,310,10,5429.460000000001,4,4,4,444,Premium Customer
9955,Elizabeth Ferrell,158,9,3175.3100000000004,3,4,3,343,Premium Customer
9966,Elizabeth Garcia,356,9,4551.039999999999,4,4,4,444,Premium Customer
9976,Elizabeth Harrington,378,9,3163.5599999999995,4,4,3,443,Premium Customer
9984,Elizabeth Huffman,182,10,5450.469999999999,3,4,4,344,Premium Customer
9988,Elizabeth Jenkins,167,9,6510.049999999999,3,4,4,344,Premium Customer
9996,Elizabeth Khan,344,8,3005.04,4,3,3,433,Premium Customer
9997,Elizabeth Krause,293,9,4888.49,4,4,4,444,Premium Customer
10003,Elizabeth Long,310,8,3787.74,4,3,3,433,Premium Customer
10012,Elizabeth Mcintosh,534,9,3460.78,4,4,3,443,Premium Customer
10018,Elizabeth Mora,295,8,5647.07,4,3,4,434,Premium Customer
10029,Elizabeth Padilla,186,10,3428.97,3,4,3,343,Premium Customer
10043,Elizabeth Potter,307,9,4391.36,4,4,4,444,Premium Customer
10051,Elizabeth Reed,159,8,3494.6900000000005,3,3,3,333,Premium Customer
10053,Elizabeth Reid,144,8,3465.8599999999997,3,3,3,333,Premium Customer
10063,Elizabeth Rosales,255,9,3038.87,3,4,3,343,Premium Customer
10064,Elizabeth Ross,252,9,4412.79,3,4,4,344,Premium Customer
10075,Elizabeth Sharp,355,8,4644.26,4,3,4,434,Premium Customer
10076,Elizabeth Shelton,174,9,5060.82,3,4,4,344,Premium Customer
10084,Elizabeth Solomon,187,8,4515.03,3,3,4,334,Premium Customer
10110,Ellen Bradley,190,9,4220.58,3,4,4,344,Premium Customer
10111,Ellen Harris,332,9,4588.59,4,4,4,444,Premium Customer
10127,Emily Bishop,180,12,4592.260000000001,3,4,4,344,Premium Customer
10131,Emily Bowman,229,8,4025.34,3,3,4,334,Premium Customer
10139,Emily Carter,400,9,4711.700000000001,4,4,4,444,Premium Customer
10146,Emily Davila,370,9,4468.41,4,4,4,444,Premium Customer
10158,Emily Grant,186,8,3873.3200000000006,3,3,3,333,Premium Customer
10165,Emily Hernandez,471,10,5512.97,4,4,4,444,Premium Customer
10172,Emily Kelley,185,9,3705.17,3,4,3,343,Premium Customer
10179,Emily Little,176,11,5343.33,3,4,4,344,Premium Customer
10183,Emily Marquez,232,9,4518.3,3,4,4,344,Premium Customer
10185,Emily Martinez DDS,204,10,3784.02,3,4,3,343,Premium Customer
10188,Emily Mcclure,325,8,3644.25,4,3,3,433,Premium Customer
10194,Emily Moore,360,8,3377.1000000000004,4,3,3,433,Premium Customer
10197,Emily Murphy,195,8,3858.8099999999995,3,3,3,333,Premium Customer
10207,Emily Perkins,344,12,4920.4,4,4,4,444,Premium Customer
10209,Emily Pratt,603,8,4260.6,4,3,4,434,Premium Customer
10228,Emily Schwartz,187,9,2994.1000000000004,3,4,3,343,Premium Customer
10238,Emily Taylor,497,8,3206.77,4,3,3,433,Premium Customer
10253,Emily White,218,8,5062.950000000001,3,3,4,334,Premium Customer
10262,Emma Cannon,175,8,3243.6800000000003,3,3,3,333,Premium Customer
10263,Emma Clark,148,12,5117.650000000001,3,4,4,344,Premium Customer
10265,Emma Downs,208,11,4569.73,3,4,4,344,Premium Customer
10266,Emma Elliott,190,8,3268.54,3,3,3,333,Premium Customer
10286,Eric Arellano,386,8,3146.15,4,3,3,433,Premium Customer
10287,Eric Armstrong,344,8,3443.26,4,3,3,433,Premium Customer
10318,Eric Carey,428,9,5997.09,4,4,4,444,Premium Customer
10344,Eric Figueroa,304,11,3960.6999999999994,4,4,4,444,Premium Customer
10371,Eric Hood,289,8,3181.93,4,3,3,433,Premium Customer
10372,Eric Hopkins,218,9,4243.6,3,4,4,344,Premium Customer
10379,Eric Joseph,154,10,4805.08,3,4,4,344,Premium Customer
10393,Eric Marquez,170,9,4436.56,3,4,4,344,Premium Customer
10409,Eric Mosley,366,10,3562.92,4,4,3,443,Premium Customer
10422,Eric Petersen,154,12,8605.98,3,4,4,344,Premium Customer
10438,Eric Romero,430,9,4233.05,4,4,4,444,Premium Customer
10439,Eric Russo,300,8,4199.03,4,3,4,434,Premium Customer
10444,Eric Shaffer,654,11,5816.280000000001,4,4,4,444,Premium Customer
10482,Erica Bean,417,8,3354.85,4,3,3,433,Premium Customer
10484,Erica Brown,286,8,3204.95,4,3,3,433,Premium Customer
10485,Erica Cameron,164,9,3963.47,3,4,4,344,Premium Customer
10495,Erica Garza,299,8,3342.0199999999995,4,3,3,433,Premium Customer
10508,Erica King,145,10,4721.85,3,4,4,344,Premium Customer
10521,Erica Nielsen,162,9,3033.2200000000003,3,4,3,343,Premium Customer
10553,Erik Berger,263,10,5218.210000000001,3,4,4,344,Premium Customer
10561,Erik Collins,253,9,5585.34,3,4,4,344,Premium Customer
10572,Erik Hoffman,147,10,6470.0599999999995,3,4,4,344,Premium Customer
10573,Erik Howard,153,9,5336.3,3,4,4,344,Premium Customer
10582,Erik Nelson,300,8,3889.52,4,3,3,433,Premium Customer
10588,Erik Simmons,167,11,5728.65,3,4,4,344,Premium Customer
10594,Erika Allen,143,9,4704.740000000001,3,4,4,344,Premium Customer
10615,Erika Johnson,180,8,3644.3500000000004,3,3,3,333,Premium Customer
10627,Erika Stuart,336,9,4739.830000000001,4,4,4,444,Premium Customer
10629,Erika Williams,154,8,3287.84,3,3,3,333,Premium Customer
10636,Erin Benson,175,9,5537.8099999999995,3,4,4,344,Premium Customer
10639,Erin Clark,216,9,3161.8199999999997,3,4,3,343,Premium Customer
10650,Erin Good,263,8,3386.44,3,3,3,333,Premium Customer
10657,Erin Hartman,167,10,3445.91,3,4,3,343,Premium Customer
10665,Erin Johnston,159,11,4758.200000000001,3,4,4,344,Premium Customer
10674,Erin Mckenzie,246,14,7057.340000000001,3,4,4,344,Premium Customer
10693,Erin Ruiz,324,8,3093.76,4,3,3,433,Premium Customer
10695,Erin Sanders,416,9,5009.7,4,4,4,444,Premium Customer
10716,Erin Wilson,367,8,3179.16,4,3,3,433,Premium Customer
10739,Ethan Butler,272,8,3901.73,3,3,3,333,Premium Customer
10742,Ethan Fowler,292,9,3719.85,4,4,3,443,Premium Customer
10756,Ethan Vargas,393,9,5071.120000000001,4,4,4,444,Premium Customer
10775,Evan Aguilar,149,8,4694.51,3,3,4,334,Premium Customer
10777,Evan Armstrong,269,8,4493.66,3,3,4,334,Premium Customer
10779,Evan Choi,327,8,3150.08,4,3,3,433,Premium Customer
10781,Evan Crawford,233,9,3143.24,3,4,3,343,Premium Customer
10787,Evan Foster,145,9,5290.08,3,4,4,344,Premium Customer
10795,Evan Nguyen,170,8,3265.83,3,3,3,333,Premium Customer
10818,Evelyn Davis,142,8,3927.4,3,3,4,334,Premium Customer
10837,Felicia Adams,254,8,4012.6800000000003,3,3,4,334,Premium Customer
10838,Felicia Beck,287,9,4317.66,4,4,4,444,Premium Customer
10849,Felicia Mccarthy,224,11,4665.2,3,4,4,344,Premium Customer
10863,Fernando Castillo,290,8,4544.219999999999,4,3,4,434,Premium Customer
10865,Fernando Edwards,204,8,3393.6499999999996,3,3,3,333,Premium Customer
10879,Frances Clark,187,11,5133.33,3,4,4,344,Premium Customer
10887,Frances Schwartz,151,8,3913.9,3,3,4,334,Premium Customer
10891,Frances Ward,252,12,3644.2199999999993,3,4,3,343,Premium Customer
10892,Frances Wilson,155,8,5490.72,3,3,4,334,Premium Customer
10896,Francis Cabrera,375,8,3791.36,4,3,3,433,Premium Customer
10900,Francisco Cochran,146,9,4967.25,3,4,4,344,Premium Customer
10908,Francisco Myers,203,13,4585.400000000001,3,4,4,344,Premium Customer
10912,Francisco Riley,186,8,3209.1899999999996,3,3,3,333,Premium Customer
10930,Frank Day,142,10,4730.75,3,4,4,344,Premium Customer
10937,Frank Graham,257,8,5089.67,3,3,4,334,Premium Customer
10947,Frank Landry,156,12,4637.91,3,4,4,344,Premium Customer
10956,Frank Patel,294,8,4219.76,4,3,4,434,Premium Customer
11006,Frederick Rowe,150,9,4393.87,3,4,4,344,Premium Customer
11017,Gabriel Brewer,306,10,4636.98,4,4,4,444,Premium Customer
11020,Gabriel Buck,202,9,3884.2799999999997,3,4,3,343,Premium Customer
11023,Gabriel Cole,144,11,6872.290000000001,3,4,4,344,Premium Customer
11027,Gabriel Fowler,208,9,4335.099999999999,3,4,4,344,Premium Customer
11031,Gabriel Lucas,189,8,4215.8,3,3,4,334,Premium Customer
11047,Gabriel Tyler,255,9,4623.5,3,4,4,344,Premium Customer
11048,Gabriel Wallace,291,8,3017.37,4,3,3,433,Premium Customer
